                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.1837,                0.43993,                0.58643,                0.77686,                 1.3339,                      1,                0.96879,                0.99405,                0.70815,                0.94842,                0.91948,                0.93285,                0.89792,                0.96131,                0.56681,                0.38052,                0.63264,                 1.2984,               0.001406,               0.001406,               0.001406
                     39,                 1.1227,                0.46436,                0.55462,                0.75944,                 1.2434,                      1,                0.99723,                  0.995,                0.79517,                0.97495,                0.97293,                0.96339,                0.93099,                0.88161,                0.47994,                0.36762,                0.75381,                  1.222,              0.0013895,              0.0013895,              0.0013895
                     40,                 1.1065,                0.40049,                0.55021,                0.74689,                 1.3041,                0.99637,                      1,                  0.995,                 0.7775,                0.97104,                  0.975,                0.96226,                0.93966,                0.88816,                0.44862,                0.34906,                0.77014,                 1.2122,               0.001373,               0.001373,               0.001373
                     41,                 1.0563,                  0.396,                0.56528,                 0.7574,                 1.2352,                      1,                0.98643,                  0.995,                0.74653,                0.97471,                0.96366,                0.95917,                 0.9365,                 0.9149,                0.41909,                0.33322,                 0.7341,                 1.2054,              0.0013565,              0.0013565,              0.0013565
                     42,                 1.0713,                0.36941,                0.56891,                0.73968,                 1.2755,                      1,                0.96899,                0.99278,                0.76565,                0.97421,                0.94461,                0.96336,                0.89026,                 1.0181,                 0.5607,                0.31307,                0.71158,                 1.3319,                0.00134,                0.00134,                0.00134
                     43,                 1.1019,                0.38852,                0.53594,                0.73223,                 1.2734,                      1,                0.98871,                  0.995,                0.76544,                0.97471,                0.96371,                0.96575,                0.93522,                0.99078,                0.53702,                0.31287,                0.70137,                 1.2958,              0.0013235,              0.0013235,              0.0013235
                     44,                 1.0729,                0.44023,                0.53669,                0.68322,                 1.2163,                      1,                0.99676,                  0.995,                0.79946,                0.97493,                0.97235,                 0.9647,                  0.955,                0.86194,                0.41302,                 0.3114,                0.69175,                 1.1964,               0.001307,               0.001307,               0.001307
                     45,                 1.0599,                0.43379,                0.53614,                0.70446,                 1.2339,                0.99723,                      1,                  0.995,                0.78063,                0.97217,                  0.975,                0.96229,                0.95699,                0.90059,                0.37376,                0.30403,                 0.6325,                 1.2298,              0.0012905,              0.0012905,              0.0012905
                     46,                 1.0735,                0.43426,                0.52532,                0.69857,                 1.2504,                0.99513,                      1,                  0.995,                0.80375,                0.94527,                   0.95,                0.93246,                0.92542,                 0.8497,                0.37728,                0.28862,                0.58067,                 1.2076,               0.001274,               0.001274,               0.001274
                     47,                0.97956,                0.38662,                0.54882,                0.64355,                   1.19,                0.99759,                      1,                  0.995,                0.79035,                0.92643,                  0.925,                0.91384,                0.90347,                0.90674,                0.46748,                0.27733,                0.53643,                 1.2258,              0.0012575,              0.0012575,              0.0012575
