                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.96099,                0.29944,                0.24359,                0.60781,                 1.1703,                0.98177,                  0.975,                0.99301,                0.80223,                0.90585,                    0.9,                0.92084,                0.89274,                0.78284,                0.72268,                0.03928,                0.43233,                 1.0943,               0.001307,               0.001307,               0.001307
                     45,                0.90639,                0.31893,                0.23596,                0.58884,                 1.1445,                0.97772,                  0.975,                0.99217,                0.80319,                0.93867,                0.89279,                0.94896,                 0.9119,                0.78447,                0.66623,                0.06263,                0.42103,                 1.1032,              0.0012905,              0.0012905,              0.0012905
                     46,                0.93908,                0.30905,                0.24202,                0.59701,                 1.1566,                0.97966,                  0.975,                0.99297,                0.81398,                0.93063,                0.89439,                0.93003,                0.89689,                0.77403,                0.64364,                0.06903,                0.42097,                 1.0961,               0.001274,               0.001274,               0.001274
                     47,                0.90854,                0.31653,                0.25289,                0.58333,                 1.1449,                0.95192,                0.98997,                0.99269,                0.79322,                0.93053,                0.89294,                0.94241,                 0.9129,                0.78093,                0.59109,                0.04139,                 0.4546,                 1.0956,              0.0012575,              0.0012575,              0.0012575
                     48,                0.92684,                 0.3269,                0.22195,                 0.5931,                 1.1601,                0.98333,                0.98307,                0.99416,                0.79035,                0.96578,                0.94067,                0.96241,                0.90559,                0.82521,                0.63359,                0.04359,                0.44677,                 1.1231,               0.001241,               0.001241,               0.001241
                     49,                0.88158,                0.29287,                0.21578,                0.55118,                 1.1372,                0.99159,                0.98284,                0.99418,                0.81369,                0.94793,                0.89167,                0.92983,                  0.879,                0.76433,                 0.8016,                0.03563,                0.40064,                 1.0661,              0.0012245,              0.0012245,              0.0012245
                     50,                0.89378,                 0.2704,                0.20088,                0.57434,                 1.1321,                0.97393,                0.99167,                0.99341,                0.82173,                0.94149,                0.93333,                0.94957,                 0.9087,                0.74119,                0.60297,                0.07419,                0.40158,                 1.0616,               0.001208,               0.001208,               0.001208
                     51,                0.88709,                 0.2868,                0.19661,                0.54707,                 1.1447,                0.98104,                  0.975,                0.99319,                0.80807,                0.88833,                  0.875,                0.89769,                0.85072,                0.75968,                0.92812,                0.04216,                0.40968,                 1.0843,              0.0011915,              0.0011915,              0.0011915
                     52,                0.89435,                0.30051,                0.22102,                 0.5593,                 1.1362,                0.99159,                0.98308,                0.99417,                0.79171,                0.92187,                0.90833,                0.92078,                0.87424,                0.78093,                0.83422,                0.03867,                0.41137,                 1.0792,               0.001175,               0.001175,               0.001175
                     53,                0.87419,                0.21393,                0.19129,                0.55864,                 1.1462,                0.98942,                  0.975,                0.99383,                0.80846,                0.95574,                  0.925,                0.93786,                0.90957,                 0.7859,                0.51685,                0.04862,                0.42385,                 1.0973,              0.0011585,              0.0011585,              0.0011585
